user_id,item_id,interaction_type,rating,timestamp,session_id,device_type,duration_seconds
user_000436,item_001191,like,2.5,2025-09-13T16:09:01,session_6350,tablet,
user_000368,item_001225,watch,3.2,2025-11-21T19:26:57,session_7139,desktop,2438.0
user_000636,item_000096,view,4.8,2025-08-23T07:02:18,session_3458,tablet,
user_000026,item_001494,view,2.6,2025-09-13T23:51:20,session_9368,tablet,
user_000799,item_001307,like,4.8,2025-06-11T12:50:37,session_6636,mobile,
user_000387,item_000032,watch,2.8,2025-05-09T00:02:42,session_3458,desktop,6277.0
user_000664,item_000610,view,3.4,2025-05-05T10:59:14,session_9249,tablet,
user_000645,item_000293,watch,4.1,2025-03-12T08:26:34,session_2986,tablet,6568.0
user_000052,item_000378,like,4.1,2025-10-03T22:42:33,session_9525,desktop,
user_000324,item_000881,view,4.6,2025-10-28T20:58:15,session_6385,mobile,
user_000786,item_000084,view,4.1,2025-01-27T14:14:29,session_6157,tablet,
user_000118,item_000762,view,4.7,2025-12-02T10:28:46,session_7716,desktop,
user_000081,item_000275,view,1.0,2025-10-05T07:32:04,session_6935,tablet,
user_000495,item_000502,view,2.8,2025-07-25T22:28:50,session_7862,mobile,
user_000583,item_001164,like,3.5,2025-02-02T21:08:59,session_9808,mobile,
user_000795,item_000141,watch,4.5,2025-10-19T18:43:37,session_3263,tablet,2162.0
user_000293,item_000793,like,4.7,2025-09-11T17:07:05,session_7692,desktop,
user_000517,item_001317,watch,4.7,2025-02-03T05:36:31,session_4245,mobile,3749.0
user_000015,item_000322,view,2.8,2025-04-28T15:16:48,session_8698,tablet,
user_000103,item_000734,view,1.7,2025-08-27T06:53:27,session_1392,tablet,
user_000170,item_001159,view,2.7,2025-10-06T09:08:32,session_9672,desktop,
user_000432,item_000022,like,2.6,2025-06-20T15:25:44,session_4955,tablet,
user_000300,item_000891,view,1.4,2025-12-17T17:37:38,session_2765,tablet,
user_000046,item_000992,view,2.1,2025-02-26T14:28:58,session_7699,tablet,
user_000460,item_000705,view,4.4,2025-11-22T15:27:18,session_8816,tablet,
user_000137,item_000558,watch,2.7,2025-04-03T08:46:49,session_9345,mobile,1277.0
user_000007,item_001403,watch,4.9,2025-05-12T10:23:43,session_8430,desktop,2655.0
user_000449,item_000583,view,3.3,2025-03-13T09:49:06,session_4805,desktop,
user_000505,item_000117,view,4.1,2025-11-30T14:36:33,session_9604,tablet,
user_000520,item_000248,watch,5.0,2025-04-29T20:27:18,session_6288,desktop,2639.0
user_000775,item_001362,watch,3.1,2025-11-15T23:02:52,session_4451,desktop,4282.0
user_000284,item_001079,view,5.0,2025-04-27T10:39:20,session_2629,desktop,
user_000291,item_000176,watch,3.0,2025-07-02T01:17:31,session_8191,mobile,1417.0
user_000295,item_001346,like,5.0,2025-01-22T23:16:38,session_2738,mobile,
user_000682,item_001319,like,3.8,2025-02-14T07:13:35,session_9334,mobile,
user_000028,item_001149,view,3.9,2025-06-23T04:02:57,session_9844,tablet,
user_000199,item_000531,watch,4.3,2025-11-09T21:23:13,session_5617,tablet,3523.0
user_000749,item_000840,view,1.9,2025-04-12T06:08:53,session_8435,desktop,
user_000112,item_000159,view,3.0,2025-05-06T12:58:54,session_2965,desktop,
user_000442,item_000331,watch,4.2,2025-07-28T15:05:55,session_3241,desktop,6023.0
user_000684,item_000927,view,3.6,2025-07-09T11:51:05,session_4644,tablet,
user_000076,item_000115,watch,4.6,2025-05-27T21:32:21,session_5523,desktop,5196.0
user_000753,item_000798,like,3.4,2025-09-17T18:49:04,session_6157,mobile,
user_000443,item_001449,view,3.7,2025-02-13T22:12:53,session_1583,tablet,
user_000642,item_000919,watch,4.2,2025-07-26T00:37:24,session_4607,tablet,1632.0
user_000271,item_000882,view,4.7,2025-01-24T07:31:52,session_4065,tablet,
user_000508,item_000380,like,2.7,2025-04-24T23:40:56,session_2453,tablet,
user_000740,item_000336,purchase,4.9,2025-06-16T09:00:27,session_2102,desktop,
user_000571,item_000154,view,4.5,2025-08-03T00:45:11,session_1635,desktop,
user_000704,item_000459,view,2.5,2025-04-02T18:40:37,session_4845,tablet,
user_000357,item_000853,like,2.5,2025-03-29T12:42:11,session_5916,mobile,
user_000299,item_001402,view,3.2,2025-02-26T19:31:50,session_7425,tablet,
user_000365,item_001188,watch,3.4,2025-06-24T20:18:06,session_4586,mobile,6214.0
user_000782,item_000262,watch,3.1,2025-01-29T14:20:15,session_7960,mobile,1473.0
user_000475,item_000618,share,4.3,2025-03-16T19:42:07,session_6694,tablet,
user_000407,item_000003,watch,3.9,2025-09-10T13:49:56,session_8925,desktop,4953.0
user_000421,item_000441,watch,5.0,2025-06-05T22:01:18,session_5389,tablet,1792.0
user_000418,item_000452,watch,5.0,2025-12-29T18:16:43,session_6203,desktop,3236.0
user_000452,item_000790,view,3.1,2025-07-25T19:16:58,session_1895,desktop,
user_000497,item_000176,view,3.3,2025-05-04T12:21:40,session_1747,desktop,
user_000458,item_001060,watch,2.3,2025-09-10T22:36:56,session_3728,tablet,1719.0
user_000798,item_001420,share,4.0,2025-03-03T16:39:39,session_6401,mobile,
user_000619,item_001326,watch,2.2,2025-09-01T22:46:01,session_7212,mobile,6423.0
user_000721,item_001472,view,2.6,2025-09-26T23:22:49,session_2039,tablet,
user_000050,item_001177,watch,5.0,2025-09-16T17:23:34,session_4251,mobile,6896.0
user_000548,item_001446,purchase,1.8,2025-11-01T05:45:14,session_5754,mobile,
user_000382,item_000768,watch,5.0,2025-02-09T20:13:35,session_5074,mobile,325.0
user_000020,item_000901,view,2.1,2025-08-05T14:33:06,session_9216,desktop,
user_000496,item_000801,watch,4.8,2025-05-04T18:19:01,session_4768,tablet,6357.0
user_000704,item_001274,view,4.8,2025-02-09T15:47:07,session_7190,tablet,
user_000410,item_001097,view,2.6,2025-06-16T13:55:05,session_2253,mobile,
user_000516,item_000259,watch,5.0,2025-04-21T17:48:46,session_7805,mobile,150.0
user_000760,item_000921,watch,3.1,2025-05-27T19:38:58,session_3487,mobile,6058.0
user_000602,item_001250,view,2.7,2025-08-05T20:12:53,session_6114,desktop,
user_000435,item_001314,view,4.6,2025-09-06T13:01:19,session_5490,desktop,
user_000207,item_000981,like,3.5,2025-08-11T22:24:18,session_8037,mobile,
user_000227,item_000743,like,3.5,2025-10-26T19:35:17,session_8919,desktop,
user_000719,item_000762,purchase,4.7,2025-04-28T07:15:24,session_1282,desktop,
user_000745,item_000159,view,3.6,2025-08-23T22:23:48,session_9955,tablet,
user_000110,item_000541,view,4.6,2025-01-21T09:36:01,session_7510,mobile,
user_000457,item_000039,view,3.9,2025-03-19T20:36:06,session_6089,desktop,
user_000147,item_000940,view,4.9,2025-02-18T22:05:06,session_3773,mobile,
user_000501,item_001408,share,3.3,2025-07-30T06:05:09,session_7605,tablet,
user_000484,item_001231,view,3.3,2025-10-02T22:53:36,session_4808,mobile,
user_000785,item_001077,watch,3.3,2025-10-22T21:26:19,session_6535,mobile,329.0
user_000329,item_000347,view,4.1,2025-10-03T22:38:26,session_1091,desktop,
user_000706,item_000928,watch,5.0,2025-09-03T22:34:31,session_6128,tablet,1961.0
user_000329,item_000287,view,3.6,2025-06-13T04:30:32,session_2334,mobile,
user_000435,item_000870,purchase,3.0,2025-04-15T18:24:08,session_1223,mobile,
user_000532,item_000988,view,4.5,2025-08-12T12:10:12,session_8169,mobile,
user_000039,item_000731,view,2.8,2025-06-11T20:31:10,session_9594,desktop,
user_000143,item_000014,purchase,4.2,2025-03-15T21:35:26,session_7543,mobile,
user_000303,item_000714,like,1.3,2025-11-22T21:46:59,session_5441,tablet,
user_000330,item_001325,view,2.6,2025-04-18T18:23:36,session_3718,mobile,
user_000297,item_001078,watch,3.2,2025-10-16T02:13:51,session_7082,tablet,4982.0
user_000257,item_000711,like,2.8,2025-09-04T10:13:59,session_6409,tablet,
user_000737,item_001428,purchase,3.7,2025-12-01T23:59:08,session_3690,tablet,
user_000732,item_000868,view,3.2,2025-12-07T18:00:20,session_7820,mobile,
user_000153,item_000134,view,4.1,2025-09-18T23:00:19,session_4074,mobile,
user_000710,item_001003,watch,3.2,2025-12-05T12:21:06,session_2001,tablet,3869.0
user_000608,item_000663,view,4.1,2026-01-02T22:40:35,session_4703,desktop,
user_000643,item_000731,share,3.7,2025-08-05T23:17:18,session_7982,tablet,
user_000746,item_000357,share,5.0,2025-08-10T16:39:49,session_7607,desktop,
user_000574,item_000808,view,3.3,2025-07-04T07:42:12,session_2269,tablet,
user_000156,item_001178,view,3.3,2025-11-10T22:17:11,session_5307,tablet,
user_000104,item_001274,view,4.4,2025-11-13T04:21:36,session_5542,tablet,
user_000630,item_001476,watch,4.7,2025-01-21T23:30:13,session_3754,mobile,6447.0
user_000237,item_000862,like,3.1,2025-11-24T13:05:59,session_3400,mobile,
user_000168,item_001088,view,4.2,2025-12-19T22:00:20,session_2274,mobile,
user_000140,item_001279,like,4.8,2024-12-30T22:28:27,session_8728,desktop,
user_000309,item_000040,watch,2.3,2025-07-22T03:07:15,session_7442,desktop,6369.0
user_000394,item_001084,view,3.3,2025-12-23T21:22:19,session_9552,desktop,
user_000543,item_000235,view,4.1,2025-02-13T23:10:40,session_5550,tablet,
user_000146,item_001325,purchase,2.6,2025-04-12T21:35:28,session_9029,tablet,
user_000256,item_000645,watch,3.9,2025-01-10T15:35:57,session_8133,tablet,2882.0
user_000182,item_000308,watch,3.1,2025-06-12T21:54:29,session_6668,tablet,3504.0
user_000218,item_000608,view,3.8,2025-08-02T15:56:58,session_4129,desktop,
user_000383,item_000318,like,3.1,2025-08-20T19:12:28,session_6914,tablet,
user_000199,item_001497,like,5.0,2025-09-22T19:21:06,session_7043,desktop,
user_000514,item_000357,view,4.0,2025-05-27T21:38:17,session_1549,tablet,
user_000281,item_000900,like,2.4,2025-06-07T23:25:02,session_5145,desktop,
user_000640,item_001189,watch,3.1,2025-03-22T18:55:45,session_8713,tablet,5209.0
user_000465,item_001364,like,1.9,2025-03-03T22:30:47,session_9938,mobile,
user_000039,item_000540,view,5.0,2025-02-18T19:39:57,session_3509,tablet,
user_000753,item_001493,like,3.9,2025-07-26T22:05:26,session_2956,mobile,
user_000454,item_001222,like,5.0,2025-11-03T19:03:20,session_2597,tablet,
user_000284,item_000873,watch,2.7,2025-05-10T15:12:41,session_1273,desktop,6888.0
user_000688,item_000731,view,2.7,2025-05-31T23:20:57,session_3772,tablet,
user_000739,item_001353,view,2.3,2025-04-14T21:33:00,session_7605,desktop,
user_000683,item_000992,like,2.1,2025-11-14T23:04:12,session_9216,mobile,
user_000746,item_001006,like,4.4,2025-02-18T18:28:02,session_5514,tablet,
user_000203,item_001403,purchase,4.6,2025-01-03T18:26:11,session_1052,desktop,
user_000280,item_000081,watch,3.7,2025-08-24T23:07:21,session_8639,tablet,6879.0
user_000713,item_000997,view,2.8,2025-02-26T21:05:07,session_2483,mobile,
user_000747,item_000506,view,5.0,2025-11-24T22:37:40,session_1329,mobile,
user_000010,item_000063,watch,4.6,2025-09-02T21:29:05,session_5042,desktop,6889.0
user_000697,item_001019,like,4.4,2025-12-21T13:57:55,session_4130,tablet,
user_000773,item_000047,view,2.9,2025-02-17T08:19:03,session_7214,tablet,
user_000293,item_000736,like,3.4,2025-02-23T22:36:20,session_7782,mobile,
user_000192,item_001408,like,3.2,2025-10-25T22:11:18,session_5249,tablet,
user_000450,item_001167,view,1.9,2025-11-15T17:22:37,session_6957,desktop,
user_000790,item_000636,view,4.6,2025-11-22T21:28:53,session_3793,mobile,
user_000599,item_000200,view,4.0,2025-09-10T06:34:36,session_4451,tablet,
user_000444,item_000224,view,3.1,2025-12-05T23:51:43,session_5729,mobile,
user_000350,item_000735,view,2.1,2025-08-15T10:32:35,session_5406,mobile,
user_000525,item_001092,watch,4.0,2025-06-14T03:16:13,session_8662,desktop,287.0
user_000118,item_000534,watch,5.0,2025-06-03T21:40:11,session_8785,mobile,3857.0
user_000600,item_000753,share,2.8,2025-10-26T07:36:24,session_1554,desktop,
user_000718,item_000059,view,5.0,2025-05-25T07:55:57,session_1129,mobile,
user_000431,item_000968,watch,4.5,2025-03-22T23:21:41,session_2641,mobile,2962.0
user_000313,item_000929,view,3.2,2025-06-08T18:48:01,session_8192,tablet,
user_000467,item_000639,watch,4.1,2025-01-01T17:44:27,session_7542,desktop,6862.0
user_000249,item_001457,like,4.3,2025-07-06T19:38:21,session_8906,tablet,
user_000410,item_000997,view,3.3,2025-09-23T23:59:56,session_4838,tablet,
user_000110,item_000720,watch,4.3,2025-09-16T23:49:17,session_7565,tablet,263.0
user_000167,item_000500,like,3.9,2025-04-07T12:59:19,session_9586,mobile,
user_000581,item_001183,view,2.8,2025-12-04T22:08:42,session_6458,mobile,
user_000092,item_000536,view,3.4,2025-07-28T19:49:09,session_6670,desktop,
user_000405,item_000762,view,5.0,2025-01-16T12:42:09,session_4283,mobile,
user_000308,item_000016,view,3.4,2025-01-12T20:11:15,session_4331,desktop,
user_000092,item_000237,purchase,3.9,2025-06-24T13:09:43,session_7131,mobile,
user_000488,item_001058,view,3.9,2025-05-18T23:30:35,session_7456,tablet,
user_000217,item_001443,purchase,4.8,2025-07-30T23:42:24,session_8593,tablet,
user_000248,item_000654,watch,4.0,2025-12-16T11:06:24,session_3105,desktop,6280.0
user_000136,item_000471,like,4.5,2025-01-28T18:20:57,session_5639,tablet,
user_000747,item_001061,purchase,3.2,2025-09-23T12:38:25,session_9750,mobile,
user_000355,item_000431,view,2.5,2025-07-10T08:47:37,session_1440,mobile,
user_000623,item_000560,like,4.2,2025-11-14T02:23:23,session_6568,tablet,
user_000001,item_000454,watch,3.6,2025-09-30T11:48:25,session_2265,tablet,1914.0
user_000141,item_000994,like,2.0,2025-04-11T21:02:13,session_5946,desktop,
user_000095,item_001483,view,5.0,2025-07-07T21:41:11,session_7974,mobile,
user_000291,item_001370,like,1.3,2025-07-09T17:43:52,session_8875,mobile,
user_000267,item_000248,purchase,3.5,2025-08-10T18:26:11,session_3679,desktop,
user_000698,item_001172,view,4.7,2025-03-29T14:06:29,session_2353,desktop,
user_000702,item_001124,share,3.2,2025-08-17T21:41:55,session_7626,mobile,
user_000164,item_000639,like,3.2,2025-08-29T23:36:32,session_7291,tablet,
user_000465,item_000975,view,2.6,2025-09-06T14:27:49,session_1893,desktop,
user_000435,item_001483,view,5.0,2025-09-11T19:38:51,session_8377,tablet,
user_000381,item_000057,view,5.0,2025-07-15T08:45:21,session_9765,desktop,
user_000114,item_001460,view,3.1,2025-07-30T09:27:34,session_7282,tablet,
user_000081,item_000074,watch,4.0,2025-08-17T07:59:45,session_5224,mobile,4248.0
user_000629,item_000322,watch,3.3,2025-11-25T22:29:27,session_1795,desktop,2337.0
user_000040,item_000633,view,4.7,2025-07-19T11:29:23,session_1820,tablet,
user_000702,item_001075,view,3.4,2025-01-02T22:27:21,session_5852,mobile,
user_000555,item_000481,view,2.9,2025-06-20T06:22:26,session_1287,desktop,
user_000332,item_000378,view,2.7,2025-12-01T23:38:07,session_6853,tablet,
user_000037,item_001060,like,2.1,2025-07-28T21:25:15,session_3871,mobile,
user_000547,item_001225,purchase,4.7,2025-05-05T13:40:31,session_8063,desktop,
user_000353,item_001278,view,4.0,2025-05-08T19:44:39,session_4999,tablet,
user_000536,item_000868,like,3.7,2025-12-22T22:02:04,session_6350,desktop,
user_000039,item_000073,view,3.0,2025-04-21T18:24:32,session_2290,desktop,
user_000652,item_001133,view,3.6,2025-03-01T11:27:25,session_1366,mobile,
user_000764,item_000110,view,3.3,2025-09-15T18:53:58,session_8101,mobile,
user_000196,item_000005,watch,4.4,2025-08-05T16:19:39,session_9422,tablet,7027.0
user_000249,item_001145,share,3.6,2025-04-20T22:03:23,session_8748,mobile,
user_000778,item_001033,view,3.0,2025-10-13T15:17:47,session_4042,desktop,
user_000513,item_000481,like,4.5,2025-04-04T08:38:25,session_3969,tablet,
user_000291,item_000009,view,5.0,2025-08-23T23:13:01,session_7788,tablet,
user_000132,item_000455,like,1.2,2025-08-04T09:38:50,session_6212,mobile,
user_000226,item_000072,view,3.7,2025-08-02T07:14:04,session_5715,tablet,
user_000729,item_000024,watch,5.0,2025-08-27T09:29:37,session_7893,tablet,4906.0
user_000336,item_001441,like,3.9,2025-04-15T16:30:59,session_1205,desktop,
user_000348,item_000087,share,3.3,2025-09-25T21:52:28,session_3486,desktop,
user_000760,item_001089,view,3.2,2025-01-08T13:34:44,session_3785,tablet,
user_000399,item_001085,watch,2.3,2025-06-30T23:42:54,session_2287,tablet,4015.0
user_000574,item_000261,view,3.0,2025-02-14T18:05:13,session_9676,desktop,
user_000311,item_000448,watch,4.1,2025-02-02T22:28:43,session_8657,mobile,1307.0
user_000639,item_000826,view,5.0,2025-10-12T04:39:22,session_8070,desktop,
user_000783,item_000587,like,2.8,2025-04-07T14:35:47,session_9040,mobile,
user_000384,item_000603,like,3.4,2025-08-12T15:08:24,session_3023,mobile,
user_000405,item_000060,like,2.7,2025-04-14T17:36:18,session_3926,mobile,
user_000785,item_000237,watch,3.2,2025-04-03T16:47:25,session_7693,desktop,6184.0
user_000222,item_000893,like,4.0,2025-09-27T22:38:17,session_6233,desktop,
user_000645,item_001236,watch,1.8,2025-08-13T03:32:34,session_9724,desktop,1874.0
user_000413,item_001253,purchase,5.0,2025-11-28T15:29:18,session_8363,mobile,
user_000181,item_000397,purchase,3.1,2025-09-26T22:00:34,session_6473,desktop,
user_000671,item_001378,watch,3.5,2025-09-02T23:24:37,session_7850,desktop,3391.0
user_000193,item_001400,watch,3.4,2025-05-14T12:39:14,session_3270,tablet,5108.0
user_000515,item_000383,like,4.8,2025-03-04T22:38:36,session_7697,mobile,
user_000332,item_000427,view,5.0,2025-10-12T22:10:36,session_8731,tablet,
user_000093,item_000344,like,3.0,2025-03-26T23:01:47,session_7378,tablet,
user_000523,item_000042,share,3.3,2025-03-06T14:54:58,session_3644,desktop,
user_000377,item_000021,watch,5.0,2025-07-11T21:15:11,session_8736,tablet,1666.0
user_000330,item_000891,watch,4.0,2025-01-16T15:57:01,session_4391,tablet,3807.0
user_000470,item_000745,purchase,5.0,2025-12-31T15:15:50,session_3897,desktop,
user_000512,item_001004,purchase,3.1,2025-12-19T14:51:38,session_6427,mobile,
user_000250,item_000163,like,3.5,2025-08-04T16:04:00,session_1529,tablet,
user_000693,item_001410,like,5.0,2025-10-26T22:33:30,session_7313,mobile,
user_000427,item_000553,watch,3.8,2025-11-01T22:56:45,session_9803,mobile,5893.0
user_000795,item_000207,watch,4.7,2025-10-01T22:34:45,session_1388,desktop,3968.0
user_000743,item_000171,view,2.2,2025-06-05T23:53:52,session_1653,desktop,
user_000409,item_000870,watch,4.0,2025-05-19T04:32:40,session_8209,desktop,6480.0
user_000127,item_001471,view,5.0,2025-09-03T15:48:52,session_2831,tablet,
user_000173,item_001440,view,3.4,2025-09-21T09:42:21,session_3325,mobile,
user_000494,item_001008,like,4.6,2025-03-06T14:21:41,session_2213,desktop,
user_000726,item_000072,like,2.7,2025-07-29T22:15:48,session_5259,desktop,
user_000302,item_001060,like,3.3,2025-11-03T19:21:50,session_8378,tablet,
user_000264,item_000331,purchase,3.1,2025-01-18T22:38:02,session_3294,mobile,
user_000534,item_000097,view,4.2,2025-04-10T21:56:23,session_6942,tablet,
user_000298,item_000946,view,4.1,2025-10-25T23:45:10,session_5992,desktop,
user_000730,item_001327,view,3.3,2025-01-18T18:18:09,session_3106,mobile,
user_000622,item_001274,share,4.6,2025-06-23T02:16:40,session_4734,mobile,
user_000216,item_001305,purchase,2.3,2025-06-22T18:09:37,session_1197,desktop,
user_000372,item_000540,view,5.0,2025-06-22T21:47:55,session_9467,desktop,
user_000488,item_000967,watch,4.4,2025-12-12T05:10:22,session_3553,tablet,7014.0
user_000513,item_001076,view,3.9,2025-12-02T23:23:24,session_8950,tablet,
user_000173,item_000689,like,4.7,2025-03-25T12:30:11,session_8929,desktop,
user_000014,item_000341,watch,3.8,2025-09-06T19:04:21,session_4683,desktop,1721.0
user_000229,item_000697,watch,4.1,2025-05-26T12:41:12,session_6840,desktop,3792.0
user_000583,item_001226,like,3.5,2025-04-05T23:58:00,session_9587,mobile,
user_000759,item_000032,view,3.3,2025-07-17T21:25:40,session_2619,desktop,
user_000519,item_000891,purchase,2.8,2025-06-12T01:51:03,session_8317,tablet,
user_000535,item_000632,like,4.2,2025-04-20T19:51:47,session_3993,tablet,
user_000666,item_000401,purchase,4.3,2025-10-17T22:14:44,session_8472,mobile,
user_000041,item_001327,like,3.9,2025-05-18T15:17:35,session_5546,mobile,
user_000760,item_000425,like,2.5,2025-04-29T21:57:57,session_3171,tablet,
user_000310,item_000014,watch,4.2,2025-07-17T11:15:37,session_8819,desktop,835.0
user_000549,item_000257,watch,3.7,2025-12-14T11:03:20,session_2196,mobile,3948.0
user_000119,item_001247,share,4.3,2025-02-03T13:30:12,session_2636,tablet,
user_000603,item_000583,watch,4.8,2025-07-18T02:19:36,session_1157,tablet,3550.0
user_000114,item_001471,watch,4.7,2025-05-08T19:28:49,session_4191,tablet,6630.0
user_000650,item_001425,purchase,2.3,2025-11-03T14:29:00,session_5124,desktop,
user_000615,item_001311,like,3.0,2025-08-15T12:21:32,session_8918,tablet,
user_000290,item_001282,share,3.5,2025-08-25T08:19:16,session_9719,mobile,
user_000349,item_001368,view,3.4,2025-04-14T19:40:28,session_2826,mobile,
user_000499,item_000208,view,3.5,2025-04-13T22:31:10,session_3929,mobile,
user_000778,item_000232,view,4.9,2025-10-19T13:19:06,session_8261,desktop,
user_000653,item_001320,like,5.0,2025-04-02T23:52:11,session_4171,mobile,
user_000781,item_001471,share,5.0,2025-08-06T23:32:19,session_6243,tablet,
user_000483,item_000529,view,5.0,2025-06-22T21:59:39,session_4445,tablet,
user_000688,item_000768,watch,3.4,2025-09-08T23:12:49,session_7491,mobile,7012.0
user_000161,item_000230,watch,2.8,2025-03-28T14:10:20,session_9461,desktop,5383.0
user_000609,item_001314,like,3.8,2025-09-01T18:49:46,session_5413,mobile,
user_000269,item_000541,watch,4.1,2025-10-08T23:54:53,session_5974,desktop,1217.0
user_000313,item_000723,watch,4.7,2025-07-08T07:22:53,session_6166,desktop,2553.0
user_000435,item_000784,view,5.0,2025-09-04T10:48:26,session_1092,desktop,
user_000418,item_000073,like,4.2,2025-12-28T19:51:08,session_8485,desktop,
user_000019,item_000680,purchase,5.0,2025-04-23T16:12:13,session_5193,desktop,
user_000382,item_000600,watch,2.2,2025-01-08T07:50:24,session_6336,tablet,4617.0
user_000756,item_000017,like,3.6,2025-01-07T05:39:32,session_8210,desktop,
user_000109,item_000431,watch,3.4,2025-01-28T21:20:46,session_8859,tablet,4887.0
user_000481,item_000486,view,3.9,2025-05-29T21:02:49,session_7390,tablet,
user_000723,item_000098,watch,4.8,2025-07-10T11:17:38,session_7144,mobile,860.0
user_000057,item_000848,watch,4.1,2025-09-06T21:17:34,session_7053,desktop,2358.0
user_000113,item_000951,like,3.2,2025-05-07T23:56:47,session_2212,desktop,
user_000793,item_000272,purchase,2.8,2025-09-21T18:52:09,session_3464,tablet,
user_000306,item_000326,watch,3.7,2025-04-01T17:35:05,session_8180,mobile,2715.0
user_000586,item_000779,watch,3.8,2025-01-11T18:42:16,session_9700,desktop,5678.0
user_000022,item_001275,purchase,4.5,2025-08-18T07:55:50,session_6143,desktop,
user_000791,item_000005,share,3.8,2025-01-19T18:56:13,session_4016,desktop,
user_000479,item_000773,like,5.0,2025-08-10T23:21:12,session_5243,desktop,
user_000618,item_001458,view,2.7,2025-11-22T21:01:08,session_2952,tablet,
user_000420,item_000854,watch,4.1,2025-03-19T21:51:31,session_1786,tablet,523.0
user_000524,item_001204,like,4.3,2025-08-06T21:36:27,session_1525,tablet,
user_000334,item_000290,view,3.9,2025-02-12T15:31:18,session_6468,tablet,
user_000068,item_001022,watch,3.7,2025-12-15T14:36:05,session_2840,tablet,1326.0
user_000525,item_001326,watch,2.4,2025-01-30T12:05:36,session_8675,tablet,5356.0
user_000195,item_000086,watch,2.5,2025-08-08T08:49:43,session_8060,desktop,3845.0
user_000462,item_001266,like,2.9,2025-05-16T05:47:09,session_6413,mobile,
